split_id,split,metric,year,value,unit,status,source_ids,quality_note,is_observed,cutoff_year
primary_holdout_2024,train,tourist_visits,2010,848,10k_persons,observed_rounded,gov_jz_report_2011;gov_jz_bulletin_2011;gov_tj_yearbook_2011_jixian,收入为同比反推；游客量为工作报告约数,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2010,35.521236,100m_cny,inferred_from_yoy,gov_jz_report_2011;gov_jz_bulletin_2011;gov_tj_yearbook_2011_jixian,收入为同比反推；游客量为工作报告约数,false,2023
primary_holdout_2024,train,tourist_visits,2011,1098.6,10k_persons,observed,gov_jz_bulletin_2011;gov_tj_yearbook_2012_jixian,宏观指标采用后版年鉴回列值并保留公报初值于宏观长表,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2011,46,100m_cny,observed,gov_jz_bulletin_2011;gov_tj_yearbook_2012_jixian,宏观指标采用后版年鉴回列值并保留公报初值于宏观长表,true,2023
primary_holdout_2024,train,tourist_visits,2012,1152,10k_persons,observed_rounded,gov_jz_report_2013;db_cei_jizhou_macro_20260817,旅游为工作报告回顾值；宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2012,52,100m_cny,observed_rounded,gov_jz_report_2013;db_cei_jizhou_macro_20260817,旅游为工作报告回顾值；宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,true,2023
primary_holdout_2024,train,tourist_visits,2013,1295,10k_persons,observed_cached,gov_jz_tourism_summary_2013;db_cei_jizhou_macro_20260817,旅游官方详情页当前下线；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2013,63.2,100m_cny,observed_cached,gov_jz_tourism_summary_2013;db_cei_jizhou_macro_20260817,旅游官方详情页当前下线；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourist_visits,2014,1553.4,10k_persons,observed_revised,gov_jz_tourism_stats_2015;db_cei_jizhou_macro_20260817,游客和直接收入采用下一年统计表回列修订值；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2014,79,100m_cny,observed,gov_jz_tourism_stats_2015;db_cei_jizhou_macro_20260817,游客和直接收入采用下一年统计表回列修订值；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourist_visits,2015,1818.72,10k_persons,observed_revised,gov_jz_tourism_stats_2016;gov_jz_tourism_attachment_2015;db_cei_jizhou_macro_20260817,综合收入证据层级较低；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2015,94,100m_cny,observed_supporting_attachment,gov_jz_tourism_stats_2016;gov_jz_tourism_attachment_2015;db_cei_jizhou_macro_20260817,综合收入证据层级较低；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourist_visits,2016,2086,10k_persons,observed_revised,gov_jz_tourism_stats_2017;db_cei_jizhou_macro_20260817,未找到同口径综合收入；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourist_visits,2017,2392,10k_persons,observed,gov_jz_tourism_stats_2017;gov_jz_report_2018;db_cei_jizhou_macro_20260817,工作报告游客约数2400未覆盖统计表精确值2392；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2017,130,100m_cny,observed_rounded,gov_jz_tourism_stats_2017;gov_jz_report_2018;db_cei_jizhou_macro_20260817,工作报告游客约数2400未覆盖统计表精确值2392；宏观采用天津统计年鉴回列值,true,2023
primary_holdout_2024,train,tourist_visits,2018,2660,10k_persons,observed_rounded,gov_jz_report_2019;db_cei_jizhou_macro_20260817,宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2018,142,100m_cny,observed_rounded,gov_jz_report_2019;db_cei_jizhou_macro_20260817,宏观采用中经网天津统计年鉴回列值并由EPS交叉核验,true,2023
primary_holdout_2024,train,tourist_visits,2019,2800,10k_persons,observed_rounded,gov_jz_report_2020;gov_jz_bulletin_2019;db_cei_jizhou_macro_20260817,宏观采用天津统计年鉴回列值；与2018年相比仍存在明显口径断点,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2019,165,100m_cny,observed_rounded,gov_jz_report_2020;gov_jz_bulletin_2019;db_cei_jizhou_macro_20260817,宏观采用天津统计年鉴回列值；与2018年相比仍存在明显口径断点,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2021,110,100m_cny,observed_rounded,gov_jz_report_2022;gov_jz_yearbook_2022,未找到精确游客量；宏观指标采用后版年鉴修订值,true,2023
primary_holdout_2024,train,tourist_visits,2023,2363,10k_persons,observed_rounded,gov_jz_report_2024;gov_jz_yearbook_2024,宏观指标采用2024年鉴最终核实值,true,2023
primary_holdout_2024,train,tourism_comprehensive_income,2023,191.5,100m_cny,observed,gov_jz_report_2024;gov_jz_yearbook_2024,宏观指标采用2024年鉴最终核实值,true,2023
