feature_group,observations,years,future_known_2026_2030,decision
tourist_visits,12,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2023;2024,False,target series only; retain missing years
tourism_comprehensive_income,12,2010;2011;2012;2013;2014;2015;2017;2018;2019;2021;2023;2024,False,target series only; retain missing years
all_resident_disposable_income,8,2017;2019;2020;2021;2022;2023;2024;2025,False,excluded from final forecast; sparse and future path unavailable
culture_tourism_sports_media_expenditure,4,2021;2022;2023;2024,False,excluded from final forecast; sparse and future path unavailable
fixed_asset_investment,4,2014;2015;2016;2017,False,excluded from final forecast; sparse and future path unavailable
general_public_budget_expenditure,6,2020;2021;2022;2023;2024;2025,False,excluded from final forecast; sparse and future path unavailable
permanent_population,1,2019,False,excluded from final forecast; sparse and future path unavailable
road_mileage,7,2019;2020;2021;2022;2023;2024;2025,False,excluded from final forecast; sparse and future path unavailable
rural_disposable_income,2,2016;2017,False,excluded from final forecast; sparse and future path unavailable
social_retail_sales,9,2014;2015;2016;2017;2021;2022;2023;2024;2025,False,excluded from final forecast; sparse and future path unavailable
social_retail_sales_yoy,1,2020,False,excluded from final forecast; sparse and future path unavailable
urban_disposable_income,2,2016;2017,False,excluded from final forecast; sparse and future path unavailable
gdp,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,False,excluded from final forecast; 2019 level break and future values unknown
tertiary_value_added,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,False,"excluded from final forecast; historical coverage is complete, but the 2019 level break and future values remain unknown"
