蓟州区旅游经济政府数据扩充版,,,
整理日期 2026-08-17｜实际、目标、累计、推导和修订版本已分开保存,,,
,,,
覆盖概览,有值年份,总年份,说明
优选游客量,12,16,含约数和已下线官方页缓存值
优选综合收入,12,16,含2010反推值和2015辅助附件值
优选GDP,15,16,2017缺值；部分早期年份为预计或推导
优选第三产业增加值,11,16,2012、2015—2018仍有缺口
,,,
核心口径,规则,影响,建议
直接收入 vs 综合收入,两个独立指标,旧口径约1:5,不得拼成一条收入序列
实际 vs 目标,实际优先,目标通常更高,目标仅用于情景假设
年度 vs 五年累计,累计值不拆年,2021—2025累计792.5亿元,只作总量约束
初值 vs 修订值,后版年鉴优先,同年GDP/三产可变化,长表保留所有版本
空白值,空白不等于0,疫情期缺口集中,显式建模缺失机制
,,,
未解决缺口,年份,当前可用信息,处理
年度游客量/综合收入,2020,未找到可靠公开年度总量,保留空白
精确游客量,2021,仅找到综合收入110亿元,保留游客空白
年度游客量/实际综合收入,2022,2023报告为目标而非2022实际,保留空白
年度旅游实际,2025,仅有目标和十四五累计,排除目标值
旅游综合收入,2016,仅找到直接收入,不得按5倍自动冒充实测
最终宏观值,2012/2015—2018,部分为预计或推导,需继续查旧年鉴
,,,
证据等级,含义,是否有本地原件,推荐用途
1,可直接复核的政府HTML/PDF/XLS/RAR,是,主模型
2,官方页下线或旧站防护；目录/同URL索引复核,最小证据记录,稳健性分析
3,政府站辅助附件而非统计公报,附件当前不可直取,补充说明
,,,
建模过滤,保留,排除/单列,原因
旅游主样本,annual + observed/revised,target/aggregate,避免把计划当实际
严格主样本,evidence_tier=1,tier 2/3及推导值,控制证据质量
宏观主序列,final/revised/yearbook,provisional,使用最新版核算
制度断点,设置断点变量,直接连线解释,2019 GDP和2021社零口径跳变
,,,
来源入口,蓟州区政府数据发布,天津统计年鉴,天津市文旅局统计
URL,https://www.tjjz.gov.cn/zwgk/sjfb/,https://stats.tj.gov.cn/tjsj_52032/tjnj/,https://whly.tj.gov.cn/ZWGKYXXGK1640/ZFXXGK5456_1/FDZDGKNR5153/TJXX3610/
